2 0.517172
3 0.864338
4 1.20142
5 1.38436
6 1.47819
7 1.62617
8 1.73822
9 1.652 n
10 1.96602
11 1.80006
12 2.3795 
13 1.8675 
14 2.05302
15 1.97581
16 1.78476
17 2.37804
18 2.19447
19 2.09849
20 2.03301
21 2.32142
22 2.29435
23 1.75916
24 2.46376
25 2.36071
26 2.34152
27 2.34209
28 2.13975
29 2.07761
30 2.54724
31 2.0062 
32 2.37256
33 2.17988
34 2.74592
35 2.13367
36 2.56137
37 2.86486
38 2.21114
39 2.13329
40 2.41883
41 2.84629
42 3.09318
43 2.91071
44 3.05933
45 2.6222 
46 2.83205
47 3.11052
48 2.84061
49 3.21329
50 3.23888
